eval_loss,eval_Accuracy,eval_F1_Micro,eval_F1_Macro,eval_F1_Weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,TrainingTime,EvaluationTime,Model,Strategy,TrainingDataPercent
1.2362641096115112,0.636622675464907,0.636622675464907,0.12857868199851946,0.550504253807014,28.6622,465.283,1.849,10.0,522.5532312393188,28.665352821350098,google-bert/bert-base-uncased,lora,5
0.695475697517395,0.7431013797240552,0.7431013797240552,0.23943297941403327,0.6931065817798434,28.0592,475.281,1.889,9.886227544910179,948.6133923530579,28.062376737594604,google-bert/bert-base-uncased,lora,10
0.5893169045448303,0.7661967606478705,0.7661967606478705,0.2584925147335272,0.7070063585943772,28.2865,471.462,1.874,9.92430278884462,979.8221778869629,28.289867162704468,google-bert/bert-base-uncased,lora,15
0.5462515950202942,0.7747450509898021,0.7747450509898021,0.27256113086588774,0.7200660918781392,31.8049,419.307,1.666,10.0,1228.3631806373596,31.808104276657104,google-bert/bert-base-uncased,lora,20
0.5191739201545715,0.7878674265146971,0.7878674265146971,0.30042403595827954,0.747614004067226,28.0901,474.758,1.887,9.954436450839328,1662.6121373176575,28.093448638916016,google-bert/bert-base-uncased,lora,25
0.49532550573349,0.8020395920815837,0.8020395920815837,0.327179574345295,0.776688669116142,28.5426,467.232,1.857,9.962075848303392,1688.582187652588,28.546066999435425,google-bert/bert-base-uncased,lora,30
0.48314112424850464,0.8057138572285543,0.8057138572285543,0.3263697459949609,0.7764330641126543,28.0616,475.24,1.889,10.0,2167.5027537345886,28.06471347808838,google-bert/bert-base-uncased,lora,35
0.4513188302516937,0.8264097180563887,0.8264097180563887,0.34912886336512877,0.8072753138748836,28.601,466.277,1.853,9.97151424287856,2160.420333147049,28.604087352752686,google-bert/bert-base-uncased,lora,40
0.44068148732185364,0.8335332933413317,0.8335332933413317,0.354464433877376,0.8146985528441746,27.9934,476.399,1.893,9.974700399467377,2642.869414806366,27.99629282951355,google-bert/bert-base-uncased,lora,45
0.42657774686813354,0.8383323335332934,0.8383323335332934,0.35820448670235033,0.819822234224968,31.2699,426.481,1.695,10.0,2660.3499751091003,31.272949934005737,google-bert/bert-base-uncased,lora,50
0.41292762756347656,0.8451559688062388,0.8451559688062388,0.3631721971572212,0.8269500973811891,28.2082,472.771,1.879,9.97928026172301,3085.0941989421844,28.21130394935608,google-bert/bert-base-uncased,lora,55
0.4019085466861725,0.8489052189562087,0.8489052189562087,0.36634060417070874,0.8312968571350721,27.8287,479.217,1.905,9.98101898101898,3373.0813462734222,27.831580877304077,google-bert/bert-base-uncased,lora,60
0.39456069469451904,0.8514547090581883,0.8514547090581883,0.3825840388747134,0.8375092658399987,28.2867,471.459,1.874,10.0,3309.475986480713,28.28947401046753,google-bert/bert-base-uncased,lora,65
0.3882771134376526,0.8570785842831433,0.8570785842831433,0.38619813344781223,0.8426771133228586,27.7236,481.035,1.912,9.983718937446444,3841.0294535160065,27.726316690444946,google-bert/bert-base-uncased,lora,70
0.38160592317581177,0.8553539292141572,0.8553539292141572,0.37110912557282877,0.8378896041644269,51.0014,261.483,1.039,9.984812150279776,3889.4808530807495,51.00425839424133,google-bert/bert-base-uncased,lora,75
0.37492644786834717,0.859628074385123,0.859628074385123,0.3742201449143126,0.8418877698674888,28.4025,469.536,1.866,10.0,4162.970952987671,28.405771255493164,google-bert/bert-base-uncased,lora,80
0.37122392654418945,0.8612777444511098,0.8612777444511098,0.39498291901758564,0.8486361098810677,27.8118,479.509,1.906,9.986591390261115,4574.772570848465,27.8150315284729,google-bert/bert-base-uncased,lora,85
0.3598029315471649,0.863377324535093,0.863377324535093,0.40640716088993134,0.8536653093325791,31.8369,418.885,1.665,9.987341772151899,4496.382236003876,31.83989977836609,google-bert/bert-base-uncased,lora,90
